date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:07	32905/32905	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-8089%22	https://moversco-demo.pbminfotech.com/html-demo/images/homepage-1/about-img-01.jpg	moversco-demo.pbminfotech.com/html-demo/images/homepage-1/about-img-01.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us.html)
14:45:08	46938/46938	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-b75a%22	https://moversco-demo.pbminfotech.com/html-demo/images/homepage-1/about-img-02.jpg	moversco-demo.pbminfotech.com/html-demo/images/homepage-1/about-img-02.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us.html)
14:45:08	53469/53469	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-d0dd%22	https://moversco-demo.pbminfotech.com/html-demo/images/homepage-1/team/team-01-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/homepage-1/team/team-01-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us.html)
14:45:10	78159/78159	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1314f%22	https://moversco-demo.pbminfotech.com/html-demo/images/homepage-1/team/team-02-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/homepage-1/team/team-02-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us.html)
14:45:10	62731/62731	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-f50b%22	https://moversco-demo.pbminfotech.com/html-demo/images/homepage-1/team/team-03-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/homepage-1/team/team-03-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us.html)
14:45:11	71457/71457	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-11721%22	https://moversco-demo.pbminfotech.com/html-demo/images/homepage-1/team/team-04-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/homepage-1/team/team-04-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us.html)
14:45:13	116882/116882	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1c892%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-01.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-01.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:14	128629/128629	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1f675%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-02.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-02.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:15	142850/142850	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-22e02%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-03.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-03.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
14:45:17	126876/126876	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1ef9c%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-04.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-02/service/service-04.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-02.html)
